	coffee_in_cafe	cost_beer	cost_coworking	cost_expat	cost_nomad	female_friendly	fragile_states_index	free_wifi_available	freedom_score	friendly_to_foreigners	internet_speed	latitude	leisure	lgbt_friendly	life_score	longitude	nightlife	nomadScore	nomad_score	peace_score	place	places_to_work	press_freedom_index	racism	safety	weed
157	3.0	3.0	503.0	4265	3117	0.6	34	0.8	0.6	0.8	27	35.1811269	0.8	0.6	0.83	-111.7480437	0.8	0.76	0.76	0.8	Flagstaff	0.4	22.49	0.6	0.8	0
158	4.37	4.37	37.43	2234	2720	1.0	32.4	0.4	0.6	1.0	0	55.864237	0.8	0.8	0.86	-4.251806	0.8	0.76	0.76	0.8	Glasgow	0.8	21.7	1.0	1.0	0
159	6.62	6.62	92.52	1602	2082	0.6	35.1	0.8	0.6	0.4	24	38.2702292	0.6	0.6	0.79	140.79686	0.4	0.76	0.76	0.8	Sendai	0.6	28.67	0.6	1.0	0
160	6.45	6.45	150.55	1967	2927	1.0	34.5	0.6	0.6	0.8	14	50.62925	1.0	0.78	0.84	3.057256	0.8	0.76	0.76	0.8	Lille	0.4	23.83	0.6	0.93	0
161	0.75	0.75	74.9	781	1329	0.9	73.9	0.4	0.2	1.0	21	53.9045398	0.6	0.38	0.72	27.5615244	0.6	0.76	0.76	0.6	Minsk	0.8	54.32	0.0	0.64	0
162	5.53	5.53	92.52	1709	2250	0.6	35.1	0.8	0.6	0.6	24	43.0594286	0.8	0.6	0.82	141.3004602	0.6	0.76	0.76	0.8	Sapporo	0.8	28.67	0.6	1.0	0
163	6.45	6.45	161.3	2318	3036	0.8	34.5	0.6	0.6	0.8	8	45.764043	0.8	0.8	0.82	4.835659	0.6	0.76	0.76	0.8	Lyon	0.8	23.83	0.6	0.8	0
164	4.37	4.37	124.75	3133	2855	0.82	32.4	1.0	0.6	1.0	0	54.978252	0.62	1.0	0.8	-1.61778	1.0	0.75	0.75	0.8	Newcastle Upon Tyne	0.8	21.7	1.0	0.8	0
165	7.5	7.5	250.0	4350	3587	1.0	34	0.8	0.6	0.8	55	38.8462236	0.4	0.8	0.85	-77.3063733	0.8	0.75	0.75	0.8	Fairfax	0.8	22.49	0.8	0.8	0
166	4.3	4.3	16.13	1346	2124	0.8	34.5	0.4	0.6	0.8	36	47.218371	0.6	0.8	0.81	-1.553621	0.42	0.75	0.75	0.8	Nantes	0.4	23.83	0.6	0.8	0
