	education	like	username	work	edu_str	cities	countries	followers	following
235			@jaemoon			18	14	1	2
236			@modkaffes	['UI/UX Design']		7	4	7	13
237			@theauravier			2	1	10	13
238			@taavikalvi	['Data']		9	6	6	10
239			@alxmhe			7	7	4	14
240			@johnreynolds	['Software Dev']		0	0	5	2
241			@christophemilet			1	1	8	6
242		['Photography']	@johana			32	20	5	6
243			@lingalooo			15	13	1	2
244			@jflaflamme			1	1	10	11
245			@jpelker	['Marketing']		0	0	3	6
246			@kimberleycook			7	6	24	8
247			@boettges			0	0	3	6
248			@bg26892			3	2	13	11
249			@jonsunandco	['Marketing']		6	3	23	19
250			@seandisesa			2	2	3	3
251			@josephrule			21	11	6	6
252			@elevy525	['Startup Founder']		0	0	2	3
253		['Diving']	@wvega			15	5	3	10
254			@tobythecox			0	0	10	25
255			@andyfielding			0	0	3	4
256			@hjbarraza			3	3	13	30
257			@goshakkk	['Software Dev']		8	5	13	24
258			@msurocks99	['Data']		2	2	9	20
259			@nealbozeman	['Software Dev', 'Startup Founder']		0	0	2	5
260		['Feminism']	@chmanie	['Startup Founder']		5	3	8	7
261			@imdigitalnomad			7	5	0	2
262			@brz0			0	0	8	2
263		['Cats', 'Coffee', 'Japanese food', 'Hiking', 'Yoga', 'Surfing', 'Skiing']	@quintinjadam	['Web Dev', 'Software Dev', 'Ecommerce', 'SaaS']		23	10	8	19
264		['Diving']	@magicwan			8	4	2	2
265			@nunoarruda			19	16	21	44
266			@nomadsalsero	['Marketing']		4	3	3	2
267			@wilhelmreich			3	3	3	2
268			@derralle	['Education']		26	17	3	4
269			@olzkk			0	0	3	7
270			@zoxel			2	2	1	2
271			@clubturps	['Startup Founder']		6	5	4	7
272			@matousvins			9	7	6	4
273			@tpaktop	['Software Dev']		8	6	8	4
274			@joshpeck	['Finance']		1	1	1	1
275			@camposped			12	7	6	11
276			@conorwade			2	1	5	5
277			@etc			15	11	7	5
278			@alextondello			8	3	2	6
279			@alexandra0320			2	2	3	2
280			@deon			0	0	2	2
281			@patrick_nilsen			5	3	5	3
282	"[""Bachelor's Degree""]"	['Coffee', 'No alcohol', 'Hiking', 'Outdoors', 'Surfing', 'Swimming', 'Reading', 'Gaming', 'Documentaries', 'Movies', 'Electronic music', 'Writing', 'Photography', 'Film making', 'Progressive politics']	@cbrwizard	['Web Dev', 'Software Dev', 'Game Dev', 'Crypto', 'Creative', 'Blogging']	Bachelor's Degree	17	11	16	7
283			@alexd	['Startup Founder']		11	9	38	57
284		['Beer']	@justinmurphy	['Startup Founder', 'Blogging']		10	4	5	26
285			@giacomodangelo			11	10	8	5
286			@jevanspollard	['Support']		0	0	4	3
287			@imnotjesus			5	4	7	6
288			@mahmoud_zalt	['Web Dev', 'Startup Founder']		0	0	5	1
289			@sa_cha	['UI/UX Design']		30	19	6	6
290			@aphataeros			16	9	0	1
291		['Diving']	@ashukumar27	['Startup Founder', 'Data']		7	5	12	16
292			@vandofb	['Startup Founder']		0	0	8	4
293			@tombonneau			1	1	3	4
294			@tomphillltd			8	5	1	1
295	"[""Bachelor's Degree""]"	['Staying up late', 'Cats', 'Dogs', 'Samoyeds', 'Coffee', 'Korean food', 'Japanese food', 'Mexican food', 'Chinese food', 'Hiking', 'Swimming', 'Gaming', 'Introvert', 'Third Culture Kid', 'Beach', 'Backpacking']	@arcaballero	['Web Dev', 'Software Dev', 'UI/UX Design', 'Crypto', 'SaaS']	Bachelor's Degree	14	9	10	43
296			@rickydazla			4	4	4	5
297			@rodcisal			0	0	7	10
298	"[""Bachelor's Degree""]"	['Cats', 'Tea', 'Coffee', 'Cocktails', 'Wine', 'Beer', 'Reading', 'Photography', 'Cooking']	@oneswrightmind		Bachelor's Degree	100	15	2	2
299			@natasha_v			5	5	1	1
300			@mirjamdenneman			2	2	5	4
301		['Writing']	@martinbourqui	['Data']		1	1	3	2
302			@lightnguyen184			0	0	1	2
303			@kirill			10	8	9	6
304	"['High School', ""Bachelor's Degree""]"	['Staying up late', 'Dogs', 'Tea', 'Coffee', 'Cocktails', 'Wine', 'Beer', 'Drinking alcohol', 'Diving', 'Surfing', 'Swimming', 'Skiing', 'Fight sports', 'Football', 'Introvert', 'Acoustic music', 'Partying']	@johnbrett_	['Web Dev', 'Software Dev', 'Startup Founder', 'Crypto', 'Fitness', 'Sports']	High School, Bachelor's Degree	32	24	18	27
305			@jelmerdeboer	['Blogging']		42	28	49	18
306		['Vegan']	@jensherrndorff			1	1	2	1
307		['Waking up early', 'Dogs', 'Fitness', 'Reading', 'Movies', 'Writing']	@johnconnelly	['Software Dev', 'Finance']		10	6	6	13
308			@jamesshap			0	0	0	4
309			@gohomebase	['Startup Founder', 'Community']		11	6	15	50
310			@erviken			0	0	0	1
311			@elhornair			16	12	8	10
312			@czyzykowski	['Web Dev']		31	15	6	6
313			@davidfchang	['Startup Founder', 'Product Manager']		0	0	7	9
314			@cs02lk1	['Startup Founder']		0	0	7	14
315			@asimon1267			13	13	4	7
316			@timomolenhuis			29	9	7	7
317			@diminko			2	2	6	10
318			@zen			10	8	25	41
319			@yohan			0	0	26	58
320			@xnutsive	['Product Manager']		11	8	34	25
321	"[""Bachelor's Degree""]"	['Photography']	@wojtek	['Web Dev']	Bachelor's Degree	39	24	6	6
322			@wolvegames			17	10	3	2
323			@willemroman	['Startup Founder']		0	0	1	3
324			@wilco	['Startup Founder', 'Marketing']		0	0	12	16
325			@vlafiser			17	10	19	15
326			@vikey89			0	0	3	3
327			@vladkorzinin			4	3	1	6
328			@tx			3	3	1	10
329			@ucheng			0	0	2	4
330			@twymer	['Software Dev']		0	0	4	7
331			@tmcgee			6	4	6	3
332			@tobin			1	1	9	11
333			@threadalist			5	4	6	11
334			@terminalpixel	['Software Dev']		10	7	13	8
335			@thelucasmoore			3	3	10	32
336			@taylorgendron			0	0	6	7
337			@supirman			3	3	5	2
338			@stevenmdean	['Startup Founder']		10	4	14	10
339			@sten	['Startup Founder']		4	4	58	5
340			@spinx	['Startup Founder']		0	0	1	1
341			@sivagao			0	0	3	10
342			@sejogacara			1	1	2	3
343			@sebastianj	['Web Dev', 'Startup Founder', 'Marketing']		0	0	7	6
344			@sash7790			1	1	3	3
345			@saskia			10	8	1	3
346			@royce	['Startup Founder']		2	2	3	4
